data_type time_ps proc_0_0 proc_0_1 proc_0_2 proc_0_3 proc_0_4 proc_0_5 proc_0_6 proc_0_7 proc_0_8 proc_0_9 proc_1_0 proc_1_1 proc_1_2 proc_1_3 proc_1_4 proc_1_5 proc_1_6 proc_1_7 proc_1_8 proc_1_9 proc_2_0 proc_2_1 proc_2_2 proc_2_3 proc_2_4 proc_2_5 proc_2_6 proc_2_7 proc_2_8 proc_2_9 proc_3_0 proc_3_1 proc_3_2 proc_3_3 proc_3_4 proc_3_5 proc_3_6 proc_3_7 proc_3_8 proc_3_9 proc_4_0 proc_4_1 proc_4_2 proc_4_3 proc_4_4 proc_4_5 proc_4_6 proc_4_7 proc_4_8 proc_4_9 proc_5_0 proc_5_1 proc_5_2 proc_5_3 proc_5_4 proc_5_5 proc_5_6 proc_5_7 proc_5_8 proc_5_9 proc_6_0 proc_6_1 proc_6_2 proc_6_3 proc_6_4 proc_6_5 proc_6_6 proc_6_7 proc_6_8 proc_6_9 proc_7_0 proc_7_1 proc_7_2 proc_7_3 proc_7_4 proc_7_5 proc_7_6 proc_7_7 proc_7_8 proc_7_9 proc_8_0 proc_8_1 proc_8_2 proc_8_3 proc_8_4 proc_8_5 proc_8_6 proc_8_7 proc_8_8 proc_8_9 proc_9_0 proc_9_1 proc_9_2 proc_9_3 proc_9_4 proc_9_5 proc_9_6 proc_9_7 proc_9_8 proc_9_9
activity 50309 9.8361e-001 1.8033e-001 1.8333e-001 1.8333e-001 1.8333e-001 1.8333e-001 1.8644e-001 1.8333e-001 1.0169e-001 1.1111e-001 8.0328e-001 1.7742e-001 1.8033e-001 1.7742e-001 1.8333e-001 1.8966e-001 1.7188e-001 1.8033e-001 1.0169e-001 1.1667e-001 6.2295e-001 1.8333e-001 1.8333e-001 1.8033e-001 1.8033e-001 1.7742e-001 1.9298e-001 1.8644e-001 9.5238e-002 1.2069e-001 4.6667e-001 1.7742e-001 1.7742e-001 1.7742e-001 1.8333e-001 1.8333e-001 1.7188e-001 1.8033e-001 9.6774e-002 1.1475e-001 3.0000e-001 1.8033e-001 1.8333e-001 1.7460e-001 1.8033e-001 1.8033e-001 1.8033e-001 1.8644e-001 9.6774e-002 1.1864e-001 1.0000e-001 1.8333e-001 1.7742e-001 1.7742e-001 1.7742e-001 1.8333e-001 1.7460e-001 1.7742e-001 9.6774e-002 1.1667e-001 1.0345e-001 1.8333e-001 1.7742e-001 1.8333e-001 1.9298e-001 1.8644e-001 1.8333e-001 1.7742e-001 1.0000e-001 1.1667e-001 1.0169e-001 1.8033e-001 1.8033e-001 1.7742e-001 1.8644e-001 1.8644e-001 1.8333e-001 1.7188e-001 1.0000e-001 1.1475e-001 9.5238e-002 1.7742e-001 1.8033e-001 1.8966e-001 1.8033e-001 1.8966e-001 1.8966e-001 1.8333e-001 9.8361e-002 1.1290e-001 7.9365e-002 1.8333e-001 1.9298e-001 1.8033e-001 1.8333e-001 1.8644e-001 1.8333e-001 1.8644e-001 1.1667e-001 1.1290e-001
utilization 50309 9.8367e-001 1.8038e-001 1.8355e-001 1.8338e-001 1.8348e-001 1.8354e-001 1.8656e-001 1.8339e-001 1.0173e-001 1.1123e-001 8.0421e-001 1.7761e-001 1.8043e-001 1.7761e-001 1.8347e-001 1.8979e-001 1.7191e-001 1.8035e-001 1.0177e-001 1.1669e-001 6.2351e-001 1.8334e-001 1.8354e-001 1.8041e-001 1.8038e-001 1.7752e-001 1.9307e-001 1.8652e-001 9.5245e-002 1.2081e-001 4.6703e-001 1.7758e-001 1.7751e-001 1.7742e-001 1.8340e-001 1.8348e-001 1.7201e-001 1.8045e-001 9.6807e-002 1.1480e-001 3.0024e-001 1.8038e-001 1.8334e-001 1.7465e-001 1.8038e-001 1.8053e-001 1.8035e-001 1.8658e-001 9.6797e-002 1.1874e-001 1.0003e-001 1.8335e-001 1.7746e-001 1.7756e-001 1.7747e-001 1.8354e-001 1.7477e-001 1.7748e-001 9.6858e-002 1.1672e-001 1.0349e-001 1.8338e-001 1.7749e-001 1.8347e-001 1.9313e-001 1.8648e-001 1.8345e-001 1.7753e-001 1.0012e-001 1.1675e-001 1.0174e-001 1.8047e-001 1.8041e-001 1.7747e-001 1.8658e-001 1.8658e-001 1.8335e-001 1.7197e-001 1.0003e-001 1.1479e-001 9.5353e-002 1.7744e-001 1.8038e-001 1.8974e-001 1.8053e-001 1.8985e-001 1.8976e-001 1.8345e-001 9.8378e-002 1.1292e-001 7.9426e-002 1.8341e-001 1.9320e-001 1.8045e-001 1.8336e-001 1.8660e-001 1.8343e-001 1.8648e-001 1.1675e-001 1.1291e-001
stalled 50309 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
input_buffers[0].num_writes 50309 60 0 0 0 0 0 0 0 0 0 49 0 0 0 0 0 0 0 0 0 38 0 0 0 0 0 0 0 0 0 27 0 0 0 0 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[0].num_reads 50309 51 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[1].num_writes 50309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[1].num_reads 50309 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
power_mW 50309 9.8600e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 8.3000e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 6.5400e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 4.8200e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 3.2200e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 1.2200e+000 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 5.0000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 5.0000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 5.0000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 3.6000e-001 1.4920e+001 3.6000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 6.2000e-001 1.9000e+000 1.4920e+001
activity 100619 1.0000e+000 -1.4661e-003 0.0000e+000 -1.5152e-003 0.0000e+000 -1.5152e-003 -1.5667e-003 -1.5152e-003 -8.5457e-004 0.0000e+000 1.0000e+000 0.0000e+000 0.0000e+000 -1.4194e-003 0.0000e+000 -1.6210e-003 0.0000e+000 -1.4661e-003 0.0000e+000 -9.6419e-004 1.0031e+000 -1.5152e-003 -1.5152e-003 0.0000e+000 -1.4661e-003 0.0000e+000 -1.6781e-003 -1.5667e-003 -7.4991e-004 0.0000e+000 1.0000e+000 0.0000e+000 0.0000e+000 0.0000e+000 -1.5152e-003 0.0000e+000 0.0000e+000 -1.4661e-003 0.0000e+000 -9.3295e-004 1.0000e+000 -1.4661e-003 0.0000e+000 -1.3748e-003 -1.4661e-003 0.0000e+000 0.0000e+000 0.0000e+000 -7.7419e-004 -9.9701e-004 1.0074e+000 0.0000e+000 0.0000e+000 -1.4194e-003 -1.4194e-003 -1.5152e-003 0.0000e+000 0.0000e+000 -7.7419e-004 0.0000e+000 8.1963e-001 -1.5152e-003 0.0000e+000 0.0000e+000 -1.6781e-003 0.0000e+000 -1.5152e-003 0.0000e+000 -8.2645e-004 0.0000e+000 6.5461e-001 0.0000e+000 -1.4661e-003 0.0000e+000 -1.5667e-003 -1.5667e-003 -1.5152e-003 -1.3324e-003 0.0000e+000 0.0000e+000 4.9206e-001 -2.8162e-003 -1.4661e-003 -1.6210e-003 -1.4661e-003 -3.2145e-003 -3.2145e-003 -1.5152e-003 0.0000e+000 0.0000e+000 2.9859e-001 1.3072e-001 -1.6781e-003 -2.9085e-003 -1.5152e-003 -1.5667e-003 -3.0055e-003 -1.5667e-003 -9.6419e-004 -9.0322e-004
utilization 100619 1.0001e+000 -1.4665e-003 0.0000e+000 -1.5155e-003 0.0000e+000 -1.5169e-003 -1.5678e-003 -1.5157e-003 -8.5489e-004 0.0000e+000 1.0012e+000 0.0000e+000 0.0000e+000 -1.4209e-003 0.0000e+000 -1.6221e-003 0.0000e+000 -1.4662e-003 0.0000e+000 -9.6437e-004 1.0040e+000 -1.5153e-003 -1.5168e-003 0.0000e+000 -1.4665e-003 0.0000e+000 -1.6789e-003 -1.5674e-003 -7.4996e-004 0.0000e+000 1.0008e+000 0.0000e+000 0.0000e+000 0.0000e+000 -1.5157e-003 0.0000e+000 0.0000e+000 -1.4670e-003 0.0000e+000 -9.3331e-004 1.0008e+000 -1.4666e-003 0.0000e+000 -1.3752e-003 -1.4665e-003 0.0000e+000 0.0000e+000 0.0000e+000 -7.7438e-004 -9.9785e-004 1.0077e+000 0.0000e+000 0.0000e+000 -1.4205e-003 -1.4198e-003 -1.5168e-003 0.0000e+000 0.0000e+000 -7.7487e-004 0.0000e+000 8.2000e-001 -1.5155e-003 0.0000e+000 0.0000e+000 -1.6794e-003 0.0000e+000 -1.5161e-003 0.0000e+000 -8.2741e-004 0.0000e+000 6.5488e-001 0.0000e+000 -1.4667e-003 0.0000e+000 -1.5679e-003 -1.5679e-003 -1.5153e-003 -1.3331e-003 0.0000e+000 0.0000e+000 4.9266e-001 -2.8165e-003 -1.4665e-003 -1.6217e-003 -1.4677e-003 -3.2178e-003 -3.2163e-003 -1.5161e-003 0.0000e+000 0.0000e+000 2.9882e-001 1.3077e-001 -1.6800e-003 -2.9105e-003 -1.5153e-003 -1.5680e-003 -3.0071e-003 -1.5670e-003 -9.6490e-004 -9.0332e-004
stalled 100619 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
input_buffers[0].num_writes 100619 121 0 0 0 0 0 0 0 0 0 102 0 0 0 0 0 0 0 0 0 94 0 0 0 0 0 0 0 0 0 84 0 0 0 0 0 0 0 0 0 72 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 0 0 0 0 52 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 0 0 26 14 0 0 0 0 0 0 0 0
input_buffers[0].num_reads 100619 103 0 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0 86 0 0 0 0 0 0 0 0 0 74 0 0 0 0 0 0 0 0 0 64 0 0 0 0 0 0 0 0 0 53 0 0 0 0 0 0 0 0 0 45 0 0 0 0 0 0 0 0 0 36 0 0 0 0 0 0 0 0 0 28 0 0 0 0 0 0 0 0 0 16 2 0 0 0 0 0 0 0 0
input_buffers[1].num_writes 100619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
input_buffers[1].num_reads 100619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
power_mW 100619 1.0400e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0260e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0420e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0100e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0100e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0480e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 8.9200e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 7.2400e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 5.9600e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 3.9600e+000 2.3800e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001
activity 150155 1.0000e+000 4.8605e-004 0.0000e+000 1.5152e-003 1.0242e-003 -4.9950e-004 1.5667e-003 1.5152e-003 8.5457e-004 5.9102e-004 9.9892e-001 9.5902e-004 1.4901e-008 4.7059e-004 1.0242e-003 5.3723e-004 8.9988e-004 1.4661e-003 5.7782e-004 3.1962e-004 9.8268e-001 5.0226e-004 1.5152e-003 9.9082e-004 1.4661e-003 9.5902e-004 5.5613e-004 1.5667e-003 7.4992e-004 7.4506e-009 1.0000e+000 9.5902e-004 0.0000e+000 9.5902e-004 5.0226e-004 0.0000e+000 8.9988e-004 1.4661e-003 0.0000e+000 3.0929e-004 9.7933e-001 1.4661e-003 1.0242e-003 4.5586e-004 4.8605e-004 9.9082e-004 1.4901e-008 1.0593e-003 7.7419e-004 3.3047e-004 9.7590e-001 1.0242e-003 9.5902e-004 4.7059e-004 4.7059e-004 5.0226e-004 9.2874e-004 9.5902e-004 2.5668e-004 6.5177e-004 9.9692e-001 1.5152e-003 9.5902e-004 0.0000e+000 5.5613e-004 1.0593e-003 5.0226e-004 9.5902e-004 2.7397e-004 7.4506e-009 9.6280e-001 1.4901e-008 1.4661e-003 9.5902e-004 5.1931e-004 5.1931e-004 5.0226e-004 4.4180e-004 7.4506e-009 0.0000e+000 9.6057e-001 3.0159e-001 4.8605e-004 5.3723e-004 -4.8341e-004 0.0000e+000 0.0000e+000 -4.9950e-004 5.4045e-004 6.1029e-004 5.8521e-001 8.9590e-001 5.5613e-004 0.0000e+000 5.0226e-004 -5.1640e-004 1.4901e-008 5.1931e-004 -3.1786e-004 2.9946e-004
utilization 150155 1.0001e+000 4.8618e-004 0.0000e+000 1.5155e-003 1.0251e-003 -5.0007e-004 1.5678e-003 1.5157e-003 8.5488e-004 5.9166e-004 1.0001e+000 9.6004e-004 0.0000e+000 4.7112e-004 1.0250e-003 5.3760e-004 9.0006e-004 1.4662e-003 5.7822e-004 3.1969e-004 9.8357e-001 5.0230e-004 1.5168e-003 9.9127e-004 1.4665e-003 9.5958e-004 5.5636e-004 1.5674e-003 7.4995e-004 0.0000e+000 1.0008e+000 9.5987e-004 -1.4901e-008 9.5902e-004 5.0245e-004 0.0000e+000 9.0055e-004 1.4671e-003 0.0000e+000 3.0942e-004 9.8010e-001 1.4665e-003 1.0242e-003 4.5599e-004 4.8618e-004 9.9194e-004 0.0000e+000 1.0601e-003 7.7438e-004 3.3075e-004 9.7617e-001 1.0243e-003 9.5922e-004 4.7098e-004 4.7073e-004 5.0282e-004 9.2962e-004 9.5938e-004 2.5692e-004 6.5209e-004 9.9737e-001 1.5155e-003 9.5938e-004 0.0000e+000 5.5654e-004 1.0596e-003 5.0257e-004 9.5963e-004 2.7428e-004 -7.4506e-009 9.6321e-001 0.0000e+000 1.4667e-003 9.5929e-004 5.1968e-004 5.1969e-004 5.0230e-004 4.4207e-004 0.0000e+000 1.4901e-008 9.6173e-001 3.0163e-001 4.8618e-004 5.3747e-004 -4.8395e-004 0.0000e+000 0.0000e+000 -4.9981e-004 5.4054e-004 6.1036e-004 5.8565e-001 8.9627e-001 5.5675e-004 -1.4901e-008 5.0232e-004 -5.1686e-004 1.4901e-008 5.1939e-004 -3.1809e-004 2.9949e-004
stalled 150155 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1
input_buffers[0].num_writes 150155 182 0 0 0 0 0 0 0 0 0 156 0 0 0 0 0 0 0 0 0 149 0 0 0 0 0 0 0 0 0 139 0 0 0 0 0 0 0 0 0 127 0 0 0 0 0 0 0 0 0 115 0 0 0 0 0 0 0 0 0 104 0 0 0 0 0 0 0 0 0 96 0 0 0 0 0 0 0 0 0 86 26 0 0 0 0 0 0 0 0 51 26 0 0 0 0 0 0 0 0
input_buffers[0].num_reads 150155 158 0 0 0 0 0 0 0 0 0 151 0 0 0 0 0 0 0 0 0 141 0 0 0 0 0 0 0 0 0 129 0 0 0 0 0 0 0 0 0 117 0 0 0 0 0 0 0 0 0 106 0 0 0 0 0 0 0 0 0 98 0 0 0 0 0 0 0 0 0 88 0 0 0 0 0 0 0 0 0 79 13 0 0 0 0 0 0 0 0 51 26 0 0 0 0 0 0 0 0
input_buffers[1].num_writes 150155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0
input_buffers[1].num_reads 150155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0
power_mW 150155 1.0380e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0100e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0220e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0100e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 9.9000e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 9.8800e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 9.7800e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 9.8600e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 1.0340e+001 5.0400e+000 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 9.3600e+000 1.3820e+001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001 2.0000e-001
activity 200465 1.0000e+000 2.4401e-004 0.0000e+000 -7.6072e-004 -2.5713e-004 4.9950e-004 -7.8666e-004 -7.6072e-004 -4.2909e-004 -1.4834e-004 1.0003e+000 -2.4073e-004 -1.4901e-008 -4.7059e-004 -2.5713e-004 -5.3723e-004 -2.2586e-004 -7.3604e-004 -5.7782e-004 -3.1962e-004 9.8480e-001 -5.0226e-004 -7.6072e-004 -9.9082e-004 -7.3604e-004 -2.4073e-004 -5.5613e-004 -7.8666e-004 -3.7645e-004 -7.4506e-009 1.0000e+000 -2.4073e-004 -7.1253e-004 -2.4073e-004 -5.0226e-004 0.0000e+000 -2.2586e-004 -7.3604e-004 0.0000e+000 1.5529e-004 1.0010e+000 -7.3604e-004 -2.5713e-004 -4.5586e-004 -4.8605e-004 -2.4873e-004 -1.4901e-008 -1.0593e-003 -3.8865e-004 1.6593e-004 1.0038e+000 -2.5713e-004 -2.4073e-004 2.3623e-004 -4.7059e-004 -5.0226e-004 -2.3311e-004 -2.4073e-004 1.2886e-004 -1.6362e-004 1.0031e+000 -7.6072e-004 -2.4073e-004 0.0000e+000 2.7928e-004 -2.6596e-004 -5.0226e-004 -2.4073e-004 -2.7397e-004 -7.4506e-009 9.9820e-001 5.0820e-001 -7.3604e-004 -2.4073e-004 -5.1931e-004 -5.1931e-004 -5.0226e-004 -4.4180e-004 -7.4506e-009 0.0000e+000 3.9635e-001 6.7796e-001 -4.8605e-004 -5.3723e-004 -2.4073e-004 -7.8666e-004 -7.8666e-004 -2.4873e-004 -1.3568e-004 -1.5319e-004 -2.5280e-003 -3.3332e-003 -5.5613e-004 -7.1253e-004 -1.2505e-003 -2.5713e-004 -7.3604e-004 -5.1931e-004 -1.5829e-004 -7.4568e-004
utilization 200465 1.0001e+000 2.4407e-004 0.0000e+000 -7.6088e-004 -2.5734e-004 5.0007e-004 -7.8718e-004 -7.6097e-004 -4.2924e-004 -1.4850e-004 1.0179e+000 -2.4097e-004 0.0000e+000 -4.7112e-004 -2.5733e-004 -5.3760e-004 -2.2590e-004 -7.3610e-004 -5.7822e-004 -3.1969e-004 9.8569e-001 -5.0230e-004 -7.6157e-004 -9.9127e-004 -7.3622e-004 -2.4088e-004 -5.5636e-004 -7.8700e-004 -3.7646e-004 0.0000e+000 1.0008e+000 -2.4095e-004 -7.1286e-004 -2.4073e-004 -5.0245e-004 0.0000e+000 -2.2602e-004 -7.3653e-004 0.0000e+000 1.5534e-004 1.0018e+000 -7.3627e-004 -2.5712e-004 -4.5599e-004 -4.8618e-004 -2.4901e-004 0.0000e+000 -1.0601e-003 -3.8875e-004 1.6607e-004 1.0041e+000 -2.5715e-004 -2.4077e-004 2.3642e-004 -4.7073e-004 -5.0282e-004 -2.3334e-004 -2.4082e-004 1.2896e-004 -1.6370e-004 1.0035e+000 -7.6090e-004 -2.4082e-004 0.0000e+000 2.7949e-004 -2.6603e-004 -5.0257e-004 -2.4088e-004 -2.7428e-004 7.4506e-009 9.9862e-001 5.0859e-001 -7.3636e-004 -2.4079e-004 -5.1968e-004 -5.1969e-004 -5.0230e-004 -4.4207e-004 0.0000e+000 -1.4901e-008 3.9683e-001 6.7805e-001 -4.8618e-004 -5.3747e-004 -2.4098e-004 -7.8747e-004 -7.8709e-004 -2.4888e-004 -1.3569e-004 -1.5321e-004 -2.5299e-003 -3.3346e-003 -5.5675e-004 -7.1299e-004 -1.2507e-003 -2.5733e-004 -7.3645e-004 -5.1939e-004 -1.5840e-004 -7.4575e-004
stalled 200465 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
input_buffers[0].num_writes 200465 235 0 0 0 0 0 0 0 0 0 212 0 0 0 0 0 0 0 0 0 204 0 0 0 0 0 0 0 0 0 195 0 0 0 0 0 0 0 0 0 182 0 0 0 0 0 0 0 0 0 170 0 0 0 0 0 0 0 0 0 160 0 0 0 0 0 0 0 0 0 150 26 0 0 0 0 0 0 0 0 102 26 0 0 0 0 0 0 0 0 51 26 0 0 0 0 0 0 0 0
input_buffers[0].num_reads 200465 214 0 0 0 0 0 0 0 0 0 205 0 0 0 0 0 0 0 0 0 197 0 0 0 0 0 0 0 0 0 184 0 0 0 0 0 0 0 0 0 172 0 0 0 0 0 0 0 0 0 162 0 0 0 0 0 0 0 0 0 152 0 0 0 0 0 0 0 0 0 138 25 0 0 0 0 0 0 0 0 102 26 0 0 0 0 0 0 0 0 51 26 0 0 0 0 0 0 0 0
input_buffers[1].num_writes 200465 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0
